player_id,pos,name,short_name
00-0017200,QB,Kurt Warner,K.Warner
00-0025388,QB,JaMarcus Russell,J.Russell
00-0003739,QB,Daunte Culpepper,D.Culpepper
00-0002110,QB,Mark Brunell,M.Brunell
00-0022005,QB,Chris Simms,C.Simms
00-0019709,QB,Chris Redman,C.Redman
00-0024264,QB,Kellen Clemens,K.Clemens
00-0023502,QB,Charlie Frye,C.Frye
00-0005106,QB,Brett Favre,B.Favre
00-0004161,QB,Jake Delhomme,J.Delhomme
00-0026296,QB,Dennis Dixon,D.Dixon
00-0021231,QB,David Garrard,D.Garrard
00-0027347,QB,Max Hall,M.Hall
00-0024408,QB,Bruce Gradkowski,B.Gradkowski
00-0003315,QB,Todd Collins,T.Collins
00-0025604,QB,Tyler Thigpen,T.Thigpen
00-0025479,QB,Trent Edwards,T.Edwards
00-0001545,QB,Todd Bouman,T.Bouman
00-0009311,QB,Jon Kitna,J.Kitna
00-0025561,QB,Troy Smith,T.Smith
00-0019559,QB,Chad Pennington,C.Pennington
00-0027775,QB,Rusty Smith,R.Smith
00-0024300,QB,Brodie Croyle,B.Croyle
00-0027796,QB,Joe Webb,J.Webb
00-0027071,QB,Stephen McGee,S.McGee
00-0026196,QB,Brian Brohm,B.Brohm
00-0003292,QB,Kerry Collins,K.Collins
00-0011022,QB,Donovan McNabb,D.McNabb
00-0024279,QB,Tarvaris Jackson,T.Jackson
00-0022121,QB,Rex Grossman,R.Grossman
00-0024812,QB,Tyler Palko,T.Palko
00-0027134,QB,Curtis Painter,C.Painter
00-0027876,QB,Tim Tebow,T.Tebow
00-0024218,QB,Vince Young,V.Young
00-0025427,QB,John Beck,J.Beck
00-0022164,QB,Kyle Boller,K.Boller
00-0023578,QB,Dan Orlovsky,D.Orlovsky
00-0024225,QB,Matt Leinart,M.Leinart
00-0025970,QB,Caleb Hanie,C.Hanie
00-0027754,QB,John Skelton,J.Skelton
00-0025423,QB,Kevin Kolb,K.Kolb
00-0025409,QB,Brady Quinn,B.Quinn
00-0022177,QB,Byron Leftwich,B.Leftwich
00-0000865,QB,Charlie Batch,C.Batch
00-0028146,QB,Greg McElroy,G.McElroy
00-0028825,QB,Terrelle Pryor,T.Pryor
00-0023460,QB,Jason Campbell,J.Campbell
00-0030024,QB,Jeff Tuel,J.Tuel
00-0027253,QB,Thaddeus Lewis,T.Lewis
00-0026993,QB,Josh Freeman,J.Freeman
00-0022055,QB,Seneca Wallace,S.Wallace
00-0026349,QB,Matt Flynn,M.Flynn
00-0026197,QB,Chad Henne,C.Henne
00-0027946,QB,Jake Locker,J.Locker
00-0024296,QB,Charlie Whitehurst,C.Whitehurst
00-0027950,QB,Christian Ponder,C.Ponder
00-0023541,QB,Kyle Orton,K.Orton
00-0029531,QB,Ryan Lindley,R.Lindley
00-0030661,QB,Connor Shaw,C.Shaw
00-0031409,QB,Johnny Manziel,J.Manziel
00-0010346,QB,Peyton Manning,P.Manning
00-0021678,QB,Tony Romo,T.Romo
00-0022864,QB,Luke McCown,L.McCown
00-0020245,QB,Michael Vick,M.Vick
00-0007091,QB,Matt Hasselbeck,M.Hasselbeck
00-0031266,QB,Zach Mettenberger,Z.Mettenberger
00-0031288,QB,A.J. McCarron,A.McCarron
00-0022787,QB,Matt Schaub,M.Schaub
00-0028957,QB,Austin Davis,A.Davis
00-0027659,QB,Jimmy Clausen,J.Clausen
00-0029234,QB,Kellen Moore,K.Moore
00-0029677,QB,Brandon Weeden,B.Weeden
00-0028012,QB,Ryan Mallett,R.Mallett
00-0020679,QB,Shaun Hill,S.Hill
00-0029665,QB,Robert Griffin,R.Griffin
00-0027974,QB,Colin Kaepernick,C.Kaepernick
00-0030419,QB,Matt McGloin,M.McGloin
00-0031064,QB,Tom Savage,T.Savage
00-0021429,QB,Carson Palmer,C.Palmer
00-0033899,QB,DeShone Kizer,D.Kizer
00-0030520,QB,Mike Glennon,M.Glennon
00-0028595,QB,Scott Tolzien,S.Tolzien
00-0033119,QB,Jacoby Brissett,J.Brissett
00-0032245,QB,Sean Mannion,S.Mannion
00-0026625,QB,Brian Hoyer,B.Hoyer
00-0032156,QB,Trevor Siemian,T.Siemian
00-0032784,QB,Kevin Hogan,K.Hogan
00-0024226,QB,Jay Cutler,J.Cutler
00-0031589,QB,Brett Hundley,B.Hundley
00-0023662,QB,Matt Cassel,M.Cassel
00-0030526,QB,EJ Manuel,E.Manuel
00-0025708,QB,Matt Moore,M.Moore
00-0025430,QB,Drew Stanton,D.Stanton
00-0030565,QB,Geno Smith,G.Smith
00-0033108,QB,Paxton Lynch,P.Lynch
00-0028090,QB,T.J. Yates,T.Yates
00-0031568,QB,Bryce Petty,B.Petty
00-0030524,QB,Landry Jones,L.Jones
00-0026143,QB,Matt Ryan,M.Ryan
00-0029567,QB,Nick Foles,N.Foles
00-0026158,QB,Joe Flacco,J.Flacco
00-0033958,QB,Nathan Peterman,N.Peterman
00-0034796,QB,Lamar Jackson,L.Jackson
00-0034857,QB,Josh Allen,J.Allen
00-0031407,QB,Blake Bortles,B.Bortles
00-0022803,QB,Eli Manning,E.Manning
00-0020531,QB,Drew Brees,D.Brees
