Season,Player,Team,Pos,name,GSIS_ID
2018,Antoine Bethea,ARI,FS,A.Bethea,00-0024421
2018,Benson Mayowa,ARI,DE,B.Mayowa,00-0030380
2018,Brandon Williams,ARI,CB,B.Williams,00-0032769
2018,Budda Baker,ARI,SS,B.Baker,00-0033890
2018,Cameron Malveaux,ARI,DE,C.Malveaux,00-0033403
2018,Chad Williams,ARI,WR,C.Williams,00-0033933
2018,Chandler Jones,ARI,DE,C.Jones,00-0029585
2018,Chase Edmonds,ARI,RB,C.Edmonds,00-0034681
2018,Chris Jones,ARI,DB,C.Jones,00-0034641
2018,Christian Kirk,ARI,WR,C.Kirk,00-0034775
2018,Corey Peters,ARI,DT,C.Peters,00-0027686
2018,D.J. Swearinger,ARI,FS,D.Swearinger,00-0030566
2018,Darrell Daniels,ARI,TE,D.Daniels,00-0033258
2018,David Amerson,ARI,DB,D.Amerson,00-0030420
2018,David Johnson,ARI,RB,D.Johnson,00-0032187
2018,Deatrick Nichols,ARI,CB,D.Nichols,00-0034481
2018,Dennis Gardeck,ARI,LB,D.Gardeck,00-0034473
2018,Deone Bucannon,ARI,OLB,D.Bucannon,00-0031366
2018,Derrick Coleman,ARI,FB,D.Coleman,00-0029068
2018,Dontae Johnson,ARI,DB,D.Johnson,00-0031061
2018,Gerald Hodges,ARI,LB,G.Hodges,00-0030385
2018,Haason Reddick,ARI,OLB,H.Reddick,00-0033875
2018,J.J. Nelson,ARI,WR,J.Nelson,00-0032112
2018,Jalen Tolliver,ARI,WR,J.Tolliver,00-0034489
2018,Jermaine Gresham,ARI,TE,J.Gresham,00-0027873
2018,Joe Walker,ARI,LB,J.Walker,00-0032809
2018,John Phillips,ARI,TE,J.Phillips,00-0027139
2018,Jonathan Anderson,ARI,LB,J.Anderson,00-0031902
2018,Josh Bynes,ARI,MLB,J.Bynes,00-0028278
2018,Josh Rosen,ARI,QB,J.Rosen,00-0034343
2018,Larry Fitzgerald,ARI,WR,L.Fitzgerald,00-0022921
2018,Leonard Johnson,ARI,DB,L.Johnson,00-0029087
2018,Markus Golden,ARI,DE,M.Golden,00-0032127
2018,Mike Glennon,ARI,QB,M.Glennon,00-0030520
2018,Olsen Pierre,ARI,DT,O.Pierre,00-0031914
2018,Pasoni Tasini,ARI,DT,P.Tasini,00-0033614
2018,Patrick Peterson,ARI,CB,P.Peterson,00-0027943
2018,Phil Dawson,ARI,K,P.Dawson,00-0004091
2018,Quinten Rollins,ARI,CB,Q.Rollins,00-0031937
2018,Ricky Seals-Jones,ARI,TE,R.Seals-Jones,00-0033611
2018,Robert Nkemdiche,ARI,DT,R.Nkemdiche,00-0032761
2018,Rodney Gunter,ARI,DT,R.Gunter,00-0032131
2018,Rudy Ford,ARI,DB,R.Ford,00-0033792
2018,Sam Bradford,ARI,QB,S.Bradford,00-0027854
2018,T.J. Logan,ARI,RB,T.Logan,00-0033789
2018,Thurston Armbrister,ARI,LB,T.Armbrister,00-0031729
2018,Tre Boston,ARI,DB,T.Boston,00-0031261
2018,Trent Sherfield,ARI,WR,T.Sherfield,00-0034487
2018,Vincent Valentine,ARI,DT,V.Valentine,00-0032396
2018,Vontarrius Dora,ARI,DE,V.Dora,00-0032484
2018,Zach Moore,ARI,DE,Z.Moore,00-0031081
2018,Zane Gonzalez,ARI,K,Z.Gonzalez,00-0033862
2018,Zeke Turner,ARI,LB,Z.Turner,00-0034490
2018,Austin Hooper,ATL,TE,A.Hooper,00-0032392
2018,Blidi Wreh-Wilson,ATL,DB,B.Wreh-Wilson,00-0030541
2018,Brian Hill,ATL,RB,B.Hill,00-0033567
2018,Brian Poole,ATL,CB,B.Poole,00-0032596
2018,Brooks Reed,ATL,DE,B.Reed,00-0027980
2018,Bruce Carter,ATL,LB,B.Carter,00-0027978
2018,Bruce Irvin,ATL,DE,B.Irvin,00-0029193
2018,Calvin Ridley,ATL,WR,C.Ridley,00-0034837
2018,Corey Nelson,ATL,LB,C.Nelson,00-0031350
2018,Damontae Kazee,ATL,SS,D.Kazee,00-0033512
2018,De'Vondre Campbell,ATL,OLB,D.Campbell,00-0032401
2018,Deadrin Senat,ATL,DT,D.Senat,00-0034363
2018,Deion Jones,ATL,LB,D.Jones,00-0032388
2018,Derrick Shelby,ATL,DE,D.Shelby,00-0029111
2018,Desmond Trufant,ATL,CB,D.Trufant,00-0030562
2018,Devonta Freeman,ATL,RB,D.Freeman,00-0031285
2018,Duke Riley,ATL,MLB,D.Riley,00-0033549
2018,Eric Saubert,ATL,TE,E.Saubert,00-0033576
2018,Foye Oluokun,ATL,LB,F.Oluokun,00-0034413
2018,Giorgio Tavecchio,ATL,K,G.Tavecchio,00-0028907
2018,Grady Jarrett,ATL,DT,G.Jarrett,00-0031583
2018,Isaiah Oliver,ATL,FS,I.Oliver,00-0034357
2018,Ito Smith,ATL,RB,I.Smith,00-0034378
2018,Jack Crawford,ATL,DT,J.Crawford,00-0029627
2018,Jeremy Langford,ATL,RB,J.Langford,00-0031569
2018,Jordan Richards,ATL,FS,J.Richards,00-0031559
2018,Julio Jones,ATL,WR,J.Jones,00-0027944
2018,Justin Bethel,ATL,DB,J.Bethel,00-0029530
2018,Justin Hardy,ATL,WR,J.Hardy,00-0031570
2018,Justin Zimmer,ATL,DT,J.Zimmer,00-0032518
2018,Keanu Neal,ATL,SS,K.Neal,00-0032382
2018,Keith Tandy,ATL,DB,K.Tandy,00-0029422
2018,Kemal Ishmael,ATL,DB,K.Ishmael,00-0030427
2018,Logan Paulsen,ATL,TE,L.Paulsen,00-0027215
2018,Marvin Hall,ATL,WR,M.Hall,00-0033094
2018,Matt Bryant,ATL,K,M.Bryant,00-0020578
2018,Matt Ryan,ATL,QB,M.Ryan,00-0026143
2018,Matt Schaub,ATL,QB,M.Schaub,00-0022787
2018,Michael Bennett,ATL,DT,M.Bennett,00-0032154
2018,Mohamed Sanu,ATL,WR,M.Sanu,00-0029632
2018,Ricardo Allen,ATL,FS,R.Allen,00-0031181
2018,Robert Alford,ATL,CB,R.Alford,00-0030528
2018,Russell Gage,ATL,WR,R.Gage,00-0034411
2018,Ryan Neal,ATL,DB,R.Neal,00-0034527
2018,Sharrod Neasman,ATL,DB,S.Neasman,00-0032592
2018,Steven Means,ATL,DE,S.Means,00-0030387
2018,Takkarist McKinley,ATL,DE,T.McKinley,00-0033540
